noop,fork-simple,vfork-simple
41,61050,24172
41,59102,24713
41,63314,25665
49,65638,25239
41,61885,25739
41,71685,24377
41,87097,24279
49,63239,27348
49,64299,25108
49,66067,26092
41,80297,23582
50,63322,24525
49,67421,25304
49,69865,28036
49,59711,23688
41,57913,28710
49,60148,25017
50,56086,25223
41,56838,27495
50,58673,24295
41,62073,25657
41,66420,25419
41,65540,23950
49,56778,28561
41,62005,25329
41,57740,24434
50,56470,25288
41,60569,24828
41,58275,24902
49,56869,27430
49,58268,26756
41,61111,26363
50,56034,33288
41,56004,25813
41,58222,24648
41,60577,24270
49,57350,25197
41,56161,25518
49,62074,24525
49,58440,24812
50,81703,23474
50,60765,24205
41,61103,24615
41,64788,25403
41,58298,28422
41,60531,24894
41,55492,24164
41,62036,23590
41,64999,24574
41,61622,24148
50,57259,25674
50,56357,24189
41,57357,24475
49,63517,24410
49,62441,25781
50,61907,24697
41,64036,23557
49,66789,24360
49,72205,22678
41,66427,22794
41,65668,28086
41,60591,22933
41,66300,23778
41,62683,24082
49,74167,23630
50,62074,21973
41,62156,23869
49,65292,24122
41,61035,24148
50,66322,23672
41,68248,23877
41,67045,30121
41,65481,23794
49,63841,21784
41,70098,22867
49,68579,23582
41,63946,27782
49,92670,24681
41,72746,24311
49,69865,24196
41,71708,23376
41,64781,24213
49,67233,25272
49,82764,23918
41,69091,23417
41,68948,23541
41,64081,23450
50,62051,23524
41,60133,24320
50,67865,24665
41,66270,24960
41,63600,27397
50,71610,25764
49,61968,27060
41,65954,24533
49,70760,24566
50,78011,23688
41,68256,24147
41,64127,23737
41,62968,24459
41,73144,25238
41,61471,26379
50,68504,25665
49,68774,24648
41,66744,24410
41,65683,23876
41,66022,23860
41,66766,25477
41,67699,23688
41,71730,26986
49,71941,23138
49,69812,23672
41,69211,22268
50,70753,23705
41,70293,24935
41,71452,24393
49,68323,24336
41,67233,27914
49,66519,23909
49,64917,22720
49,72753,23065
41,63127,22629
49,64134,27142
41,62231,26150
41,66752,26207
49,64337,27708
50,62645,25230
49,64300,24353
49,67564,24738
49,283236,25690
41,71287,25116
41,60509,25123
49,63765,26002
41,65917,28488
42,63645,24344
49,62991,25493
49,69700,24148
49,64172,23360
50,68203,27717
49,65270,23721
41,64871,25091
49,63058,27634
42,71039,25206
41,69550,24533
41,66503,24081
49,66127,24312
41,65623,26354
41,66804,24722
49,63291,24533
41,64690,27110
41,64081,24426
41,64157,24238
41,64525,23918
49,62871,22547
50,65164,27216
50,62374,22662
41,61945,24336
41,63419,25083
41,70707,24787
41,64676,29415
50,62276,26092
49,67662,21727
49,61915,23253
41,59937,22203
41,61735,23541
50,70166,25517
49,63021,23819
41,65382,26781
41,67925,25091
41,63306,28217
49,63532,25198
41,63081,24345
49,66865,23302
49,75581,26691
49,64066,25411
41,64623,24353
49,65292,23860
41,62337,26034
41,64398,25994
49,67624,24714
41,63066,24222
49,65465,28643
41,63622,24106
49,72317,24262
41,63337,23524
41,70919,27816
41,68729,23278
49,67113,23557
41,61314,27117
49,63645,27922
49,68527,23245
49,62742,25394
49,64074,24648
41,64389,22909
49,71339,23031
49,61855,26535
49,64796,23877
41,68451,27906
41,62975,25198
49,74115,23770
50,67646,24049
50,70407,29456
41,80673,26150
49,62645,23910
49,110713,25116
49,73806,28283
49,64405,23466
41,82312,23943
41,68391,23130
50,64969,25518
41,64051,26683
50,62036,23770
49,67691,23901
41,62396,27634
42,60599,23663
49,64690,24246
50,68579,29194
41,64781,24081
49,72476,23705
50,82147,26207
49,63706,23589
41,62269,26815
50,64991,24763
41,70030,26288
50,65962,23105
41,63375,23483
42,69587,22974
41,67706,23672
49,64367,23828
49,65886,26814
50,66721,25132
41,63246,23056
41,61953,26871
41,62961,26207
41,70466,23434
49,67293,23704
41,61893,23204
49,64367,28324
41,64495,23721
41,65014,23073
41,61170,22047
49,67534,22654
49,64314,24089
41,59945,23286
49,63427,25830
41,70881,25600
41,63208,23745
49,66157,35528
49,73445,24123
41,202075,23343
41,65443,23671
49,65458,25895
41,68293,25542
49,63178,27979
49,70339,24188
41,73392,24147
49,61366,24319
41,63682,23721
41,63645,26756
41,67188,23113
49,64796,23861
41,64834,28865
41,66541,25354
49,66729,27175
50,60095,23795
41,74416,24935
49,61005,23261
50,67827,24140
49,68075,23884
50,64713,27364
41,68233,24312
41,69384,23762
41,66217,24812
41,66902,23828
49,66458,25534
41,65811,25887
41,66804,24919
41,69068,26560
41,70940,25255
41,72708,29973
49,67285,24106
41,58832,22786
41,67128,22719
49,66940,21891
41,64344,22121
49,69677,26913
41,64442,25551
50,67097,23738
41,65984,24164
50,72565,26715
49,68421,24476
49,68451,23614
50,75055,24057
50,67082,28389
49,79943,26716
49,70181,22933
49,68970,23195
50,67338,24632
41,68571,23745
49,68083,24984
49,63096,25813
41,65037,25361
49,67865,23647
41,66902,25575
49,66676,23228
41,61810,22794
41,63750,24853
41,64954,25813
50,67924,25657
41,69722,26905
41,67684,26289
49,62833,23188
49,65367,23827
41,63690,23787
41,63178,25641
49,60584,23606
49,64187,23368
49,62712,29054
41,68368,24402
41,62239,23754
41,60569,23261
50,65826,26117
41,63412,23721
49,68714,23278
41,65563,24328
41,67414,27355
49,62381,26224
41,64849,23713
41,61712,25748
49,68331,23171
49,66180,23967
41,60968,26510
49,69707,23926
50,62502,26322
49,61907,24073
49,62742,29358
49,66022,23524
49,65134,22408
49,62374,25534
41,62155,24377
41,134187,23753
41,63916,29685
41,66142,25830
49,65255,23622
49,61569,22949
41,62404,26839
41,63043,23540
41,67421,23869
49,62164,25239
41,62750,28537
41,65127,23557
41,61622,24155
41,62975,23639
41,61757,23482
41,68691,24345
41,62291,24221
50,67376,26650
41,62615,30810
41,72430,24205
49,65714,26888
41,62555,24894
50,66992,24377
49,60862,24558
50,59801,27027
50,62193,25870
41,71166,28036
41,62419,23999
49,64473,23327
41,66797,27864
