noop,fork-simple,vfork-simple
21,44286,10571
21,42288,10158
21,46211,11155
22,42485,10555
21,44149,10316
21,43138,10094
21,44578,10188
21,42158,10048
22,42737,13964
21,42009,9974
21,45144,10543
20,42749,10929
22,42465,10194
21,45800,10209
21,41509,10354
21,40993,11022
21,41885,9937
21,45409,10903
21,43086,10464
21,42999,10531
22,42911,10708
21,45733,10471
21,41704,10006
20,42585,10148
21,42506,14520
20,46567,10292
21,42062,12617
21,42213,10944
23,45732,10464
21,42594,10131
21,42766,11092
22,42808,10142
20,45610,10729
22,42315,10535
21,42213,10857
21,42276,10720
20,44580,10558
21,42492,10826
21,41934,11237
20,45129,14200
21,41226,10163
20,41824,10441
21,41872,10358
21,44628,10951
21,42520,10473
22,41994,10590
21,42432,9934
21,46464,9985
21,42582,10799
21,42114,10192
22,48031,10767
21,42568,10519
21,41940,10099
21,41890,10361
21,46030,10577
21,42089,13919
22,42824,10409
21,42128,10145
21,44930,10352
21,43203,10869
21,42975,10405
21,42084,10695
21,44417,10328
21,41772,10342
21,42119,10768
21,45811,10525
20,42024,11066
21,42039,10249
22,44176,11604
21,44646,10274
21,42156,13650
21,42370,10000
21,44142,10301
21,48566,10460
21,42973,10662
21,42674,10390
22,47555,9955
21,43124,10595
21,42030,10025
22,41244,10286
21,47404,10173
21,42293,10464
21,42179,10491
21,43511,10458
21,47725,10594
21,41897,10272
21,42415,13708
23,45924,10345
21,44640,9725
21,42133,10876
22,42524,10646
20,46151,10384
21,43804,10801
22,42016,10865
21,42249,10369
21,45286,10384
21,154828,10399
21,42687,9829
21,43311,11209
21,46459,12422
21,42101,10206
21,42547,13678
21,44857,10085
21,42572,9751
21,42441,10155
21,42054,10689
20,45159,10711
21,43156,10363
21,42855,10071
21,42200,10368
21,45581,11594
21,41497,10189
21,42005,10949
21,45563,11010
21,42111,10485
21,41823,10383
21,42684,10644
23,44767,14160
21,41662,11144
21,42941,9995
22,41872,11292
21,45096,10036
21,41994,10156
21,43344,11156
21,46289,10090
21,42183,10627
22,41749,10585
21,42999,10253
21,46284,10677
21,42214,12197
21,42190,10846
20,43008,10543
21,45345,13568
21,42673,10147
21,42728,10097
21,41468,10300
22,45097,10238
22,42694,10305
20,42286,10260
21,45451,10252
21,43849,10230
20,41730,10351
20,42034,9761
22,45649,12103
21,42663,10483
22,42443,10313
