      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        219,        502,        736,        971,       1213,       1464,       1774,       2010,       2245,       2484,       2716,       3008
          0,        221,        504,        738,        973,       1216,       1510,       1820,       2057,       2292,       2531,       2764,       3056
          0,        218,        502,        734,        970,       1214,       1515,       1825,       2064,       2302,       2540,       2772,       3067
          0,        220,        503,        738,        973,       1216,       1511,       1821,       2058,       2293,       2529,       2761,       3267
          0,        219,        503,        735,        971,       1215,       1513,       1824,       2062,       2298,       2535,       2766,       3054
          0,        219,        502,        736,        971,       1215,       1466,       1775,       2011,       2246,       2485,       2717,       3009
          0,        220,        504,        737,        972,       1215,       1510,       1820,       2059,       2296,       2533,       2765,       3057
          0,        219,        503,        736,        970,       1213,       1508,       1816,       2055,       2290,       2526,       2759,       3051
          0,        220,        509,        743,        979,       1223,       1476,       1786,       2024,       2260,       2496,       2727,       3015
          0,        218,        502,        734,        970,       1212,       1504,       1816,       2054,       2292,       2528,       2761,       3052
          0,        219,        503,        737,        974,       1216,       1510,       1817,       2056,       2291,       2530,       2763,       3055
          0,        218,        503,        736,        972,       1216,       1469,       1781,       2019,       2256,       2494,       2726,       3228
          0,        221,        505,        738,        972,       1218,       1518,       1827,       2064,       2299,       2538,       2771,       3063
          0,        219,        504,        739,        977,       1219,       1513,       1821,       2060,       2295,       2535,       2767,       3064
          0,        221,        506,        741,        976,       1219,       1511,       1820,       2059,       2294,       2532,       2764,       3056
          0,        219,        502,        736,        971,       1215,       1466,       1778,       2018,       2253,       2492,       2725,       3013
          0,        220,        505,        738,        974,       1217,       1469,       1779,       2020,       2255,       2492,       2724,       3019
          0,        219,        504,        739,        974,       1217,       1508,       1816,       2055,       2290,       2528,       2760,       3052
          0,        220,        504,        737,        974,       1217,       1511,       1822,       2059,       2296,       2532,       2764,       3052
          0,        219,        503,        737,        974,       1215,       1511,       1820,       2059,       2294,       2533,       2766,       3264
          0,        218,        502,        734,        970,       1212,       1512,       1822,       2060,       2296,       2534,       2766,       3061
          0,        221,        505,        739,        974,       1219,       1470,       1782,       2019,       2254,       2490,       2723,       3010
          0,        219,        502,        736,        971,       1213,       1510,       1819,       2055,       2290,       2529,       2762,       3050
          0,        219,        503,        736,        969,       1212,       1513,       1821,       2057,       2290,       2526,       2759,       3046
          0,        220,        504,        736,        972,       1214,       1467,       1779,       2016,       2250,       2487,       2720,       3016
          0,        219,        503,        735,        971,       1214,       1509,       1819,       2058,       2294,       2531,       2764,       3055
          0,        219,        503,        737,        972,       1217,       1514,       1823,       2059,       2294,       2533,       2766,       3053
          0,        218,        508,        743,        981,       1223,       1474,       1785,       2022,       2257,       2497,       2729,       3231
          0,        221,        506,        741,        976,       1219,       1516,       1825,       2064,       2299,       2537,       2769,       3061
          0,        220,        504,        736,        972,       1216,       1514,       1826,       2064,       2302,       2539,       2770,       3058
          0,        218,       1363,       1598,       1836,       2080,       2379,       2687,       2925,       3160,       3400,       3632,       3927
          0,        218,        503,        738,        974,       1216,       1467,       1780,       2018,       2254,       2491,       2722,       3010
          0,        219,        502,        736,        971,       1215,       1466,       1776,       2015,       2250,       2489,       2722,       3009
          0,        222,        506,        739,        976,       1219,       1520,       1830,       2069,       2305,       2541,       2773,       3061
          0,        219,        503,        738,        974,       1220,       1515,       1823,       2062,       2297,       2536,       2769,       3061
          0,        220,        504,        737,        974,       1217,       1512,       1822,       2061,       2297,       2533,       2765,       3258
          0,        218,        503,        738,        974,       1219,       1515,       1824,       2065,       2303,       2541,       2773,       3068
          0,        221,        505,        739,        976,       1220,       1471,       1779,       2017,       2252,       2489,       2722,       3010
          0,        220,        504,       1060,       1295,       1537,       1831,       2139,       2375,       2610,       2846,       3078,       3370
          0,        219,        503,        736,        970,       1216,       1510,       1820,       2060,       2295,       2534,       2766,       3054
          0,        221,        511,        744,        979,       1222,       1472,       1784,       2021,       2256,       2494,       2726,       3018
          0,        219,        503,        738,        973,       1215,       1513,       1823,       2063,       2298,       2537,       2769,       3056
          0,        220,        504,        736,        971,       1216,       1512,       1821,       2060,       2296,       2533,       2765,       3052
          0,        221,        505,        738,        972,       1214,       1465,       1775,       2014,       2249,       2488,       2720,       3215
          0,        221,        505,        739,        976,       1219,       1513,       1820,       2059,       2294,       2533,       2766,       3063
          0,        220,        504,        736,        971,       1212,       1463,       1774,       2014,       2250,       2489,       2721,       3013
          0,        219,        506,        739,        977,       1221,       1516,       1824,       2063,       2298,       2536,       2768,       3065
          0,        218,        503,        736,        972,       1218,       1513,       1822,       2063,       2298,       2538,       2770,       3065
          0,        221,        505,        739,        974,       1217,       1469,       1779,       2018,       2253,       2492,       2725,       3018
          0,        218,        503,        734,        969,       1213,       1514,       1826,       2063,       2297,       2533,       2766,       3057
          0,        219,        503,        737,        974,       1218,       1512,       1820,       2056,       2289,       2526,       2759,       3051
          0,        221,        505,        737,        973,       1217,       1469,       1780,       2018,       2256,       2493,       2724,       3222
          0,        220,        504,        736,        972,       1215,       1510,       1821,       2062,       2298,       2537,       2768,       3056
          0,        221,        505,        738,        972,       1215,       1509,       1818,       2056,       2291,       2528,       2760,       3049
          0,        221,        506,        741,        976,       1219,       1515,       1825,       2065,       2300,       2538,       2770,       3062
          0,        220,        504,        737,        974,       1217,       1468,       1778,       2014,       2249,       2485,       2717,       3014
          0,        219,        505,        740,        975,       1218,       1468,       1777,       2016,       2251,       2489,       2721,       3013
          0,        221,        505,        739,        976,       1218,       1512,       1819,       2058,       2293,       2532,       2765,       3062
          0,        220,        504,        736,        972,       1216,       1512,       1823,       2064,       2300,       2539,       2770,       3058
          0,        221,        505,        739,        976,       1217,       1468,       1777,       2016,       2251,       2487,       2720,       3220
          0,        221,        505,        738,        972,       1218,       1514,       1823,       2061,       2296,       2533,       2765,       3054
          0,        220,        504,        737,        974,       1217,       1515,       1824,       2062,       2296,       2532,       2764,       3061
          0,        219,        504,        739,        974,       1219,       1514,       1822,       2061,       2296,       2534,       2766,       3063
          0,        220,        509,        743,        979,       1221,       1473,       1786,       2027,       2265,       2502,       2733,       3021
          0,        219,        503,        737,        974,       1216,       1467,       1779,       2016,       2251,       2490,       2723,       3011
          0,        221,        505,        739,        974,       1217,       1516,       1824,       2060,       2295,       2534,       2767,       3054
          0,        219,        503,        736,        973,       1219,       1515,       1824,       2063,       2298,       2537,       2769,       3057
          0,        218,        503,        738,        974,       1216,       1515,       1824,       2065,       2303,       2540,       2772,       3270
          0,        221,        506,        739,        975,       1217,       1511,       1820,       2058,       2293,       2533,       2765,       3063
          0,        219,        503,        736,        970,       1216,       1467,       1779,       2019,       2254,       2493,       2725,       3013
          0,        221,        507,        742,        977,       1220,       1515,       1824,       2063,       2298,       2536,       2768,       3060
          0,        219,        502,        736,        971,       1215,       1511,       1820,       2056,       2291,       2530,       2762,       3059
          0,        221,        505,        738,        972,       1218,       1469,       1781,       2018,       2253,       2492,       2724,       3011
          0,        219,        503,        736,        970,       1213,       1510,       1817,       2055,       2290,       2527,       2760,       3048
          0,        219,        504,        739,        974,       1217,       1467,       1779,       2019,       2254,       2492,       2724,       3016
          0,        219,        504,        737,        972,       1215,       1472,       1781,       2018,       2251,       2488,       2720,       3220
          0,        219,        504,        739,        977,       1223,       1517,       1827,       2064,       2297,       2535,       2767,       3065
          0,        220,        504,        737,        974,       1216,       1510,       1819,       2057,       2291,       2527,       2759,       3051
          0,        220,        504,       1526,       1764,       2008,       2306,       2618,       2859,       3097,       3334,       3565,       3853
          0,        219,        503,        737,        974,       1217,       1468,       1777,       2016,       2251,       2490,       2723,       3015
          0,        220,        509,        741,        977,       1220,       1471,       1782,       2020,       2256,       2495,       2726,       3014
          0,        218,        503,        738,        976,       1219,       1512,       1821,       2062,       2300,       2537,       2769,       3057
          0,        220,        504,        739,        974,       1219,       1470,       1783,       2020,       2256,       2492,       2724,       3012
          0,        219,        503,        736,        970,       1214,       1465,       1777,       2014,       2249,       2488,       2720,       3216
          0,        219,        502,        736,        971,       1215,       1514,       1823,       2059,       2294,       2533,       2765,       3057
