noop,vdso,syscall,ioctl
8,16,286,336
9,19,287,328
9,14,287,327
8,20,289,333
10,20,298,329
7,12,279,334
10,21,287,334
8,13,283,329
10,13,280,324
10,12,277,331
10,12,285,423
10,12,280,341
10,12,381,334
10,12,286,340
10,13,288,335
10,20,285,338
10,13,292,335
11,20,294,334
7,20,287,334
10,20,293,326
8,12,285,354
8,12,290,354
10,13,287,357
10,20,286,347
10,14,323,361
8,20,288,350
10,13,278,337
8,12,278,339
8,12,281,360
10,13,283,362
8,12,382,352
8,13,281,362
10,12,283,359
10,12,280,516
8,13,310,348
8,12,288,351
10,10,280,345
8,13,287,353
7,12,282,356
8,20,289,351
10,20,284,358
10,19,287,345
10,19,279,349
10,19,282,18446744073709486431
8,19,280,531
9,19,283,349
9,19,278,351
10,12,288,354
10,20,281,528
10,20,284,353
9,20,281,350
8,20,285,356
9,11,385,352
8,12,281,352
8,11,284,353
11,20,278,513
8,13,281,354
8,15,277,361
10,13,284,365
10,12,285,352
9,13,287,348
7,20,284,516
11,20,285,354
8,20,301,352
11,19,286,353
7,19,280,342
7,19,300,343
8,19,287,343
16,19,279,335
8,19,301,340
10,12,279,352
10,14,282,444
11,20,280,354
11,19,284,347
8,19,284,356
8,13,304,358
10,20,286,340
10,20,283,349
10,12,280,433
10,11,284,358
10,16,285,337
10,16,282,352
11,20,285,357
7,20,282,356
7,20,277,351
7,20,282,348
7,11,288,350
7,20,288,353
7,13,316,454
7,12,293,359
7,12,332,361
10,20,291,353
8,20,288,353
10,13,291,355
7,12,282,350
7,13,283,360
8,14,282,353
8,12,285,346
8,13,284,335
8,13,279,344
8,19,286,446
11,19,285,352
7,19,287,354
10,11,290,357
7,13,279,359
8,12,285,463
7,15,282,357
7,13,282,354
7,11,459,350
10,11,299,365
8,12,285,354
11,11,279,352
8,12,281,356
11,12,333,350
9,12,286,376
10,12,287,357
9,20,280,388
10,16,284,351
11,19,277,354
10,16,283,341
13,19,282,357
10,16,284,356
10,19,278,344
9,14,285,345
8,14,279,340
8,19,281,339
8,19,281,452
8,19,356,354
13,19,284,353
8,19,282,355
9,24,280,359
9,14,279,362
8,19,284,338
8,19,278,349
8,19,279,351
8,19,291,356
10,13,335,368
10,19,287,340
11,13,18446744073709486370,339
10,19,289,349
9,19,287,443
9,19,289,351
9,19,280,344
18446744073709486090,19,288,349
15,13,276,354
16,12,285,354
9,20,280,365
8,11,288,340
11,20,280,342
10,19,277,349
8,13,277,358
7,19,285,473
10,13,277,350
9,12,280,357
8,13,439,356
9,20,298,340
8,13,283,361
10,12,288,349
9,13,316,352
10,21,291,18446744073709486416
8,19,284,355
10,19,284,346
9,19,279,340
8,14,287,347
8,15,282,345
8,14,286,347
8,15,276,340
8,14,286,344
10,13,283,342
8,14,286,347
8,12,278,344
8,14,284,368
10,12,281,352
10,14,320,356
10,12,282,359
11,14,276,516
10,19,288,351
10,12,290,350
7,19,284,351
10,20,368,349
10,12,287,337
15,14,288,347
16,12,290,345
7,12,291,367
9,14,312,467
9,12,286,353
8,19,288,353
8,22,292,347
10,14,284,350
9,14,291,352
8,19,281,355
10,19,279,352
10,19,278,347
10,14,323,457
11,12,283,357
10,14,295,331
7,19,288,331
8,24,291,329
7,19,286,335
7,14,292,332
7,20,287,339
7,14,284,324
7,16,286,333
7,20,288,335
10,12,289,350
10,20,291,353
10,12,288,356
11,20,290,350
8,22,465,361
8,22,302,352
10,20,287,348
11,13,285,336
8,16,291,342
8,12,288,338
8,12,282,455
10,12,281,338
8,12,282,332
7,17,283,456
8,16,279,332
10,19,456,329
9,12,291,325
9,20,281,330
9,20,276,333
8,19,281,329
10,13,281,334
8,19,286,329
8,21,277,328
10,18,287,329
10,19,279,331
7,19,286,332
7,12,327,332
7,20,297,332
8,20,289,334
10,13,290,340
8,13,287,525
10,13,284,356
10,13,287,354
11,12,285,349
8,13,284,342
8,13,286,339
8,20,285,333
11,20,283,344
10,20,289,343
10,20,284,337
8,13,286,349
10,12,285,344
7,14,292,337
7,20,283,348
7,20,287,352
10,20,289,340
8,20,283,349
8,19,288,420
10,14,289,354
7,16,285,350
7,17,282,350
7,20,287,350
10,13,365,349
8,12,286,358
10,20,288,348
8,12,293,343
7,11,283,350
10,12,282,360
10,11,282,520
10,16,288,352
7,11,280,351
10,11,286,352
9,12,280,349
10,12,283,354
9,20,279,354
9,20,353,351
6,13,285,363
8,13,287,358
10,13,283,351
8,15,278,352
8,13,285,352
8,12,282,356
8,19,280,352
13,14,284,352
10,14,280,348
8,14,287,350
9,12,277,352
10,12,281,347
10,20,286,349
10,20,280,350
9,19,288,348
11,19,276,347
9,14,284,340
8,12,287,349
10,20,280,352
11,19,286,359
10,15,284,351
10,12,280,350
8,12,283,358
10,12,279,345
8,14,291,351
9,19,288,344
8,19,290,365
8,19,354,352
10,12,284,349
11,20,282,344
10,15,280,349
7,15,282,345
10,14,282,341
10,14,281,344
10,20,353,427
10,19,284,355
8,14,283,353
10,16,284,349
8,19,353,340
10,19,289,339
10,19,279,431
13,14,285,354
10,12,356,343
11,19,279,350
8,12,290,349
8,14,279,338
8,15,286,349
8,11,358,341
8,19,284,345
8,10,286,352
8,13,281,342
8,12,282,352
8,20,278,341
10,12,281,338
13,20,282,339
10,20,282,344
10,19,287,338
10,19,286,18446744073709486421
11,19,288,349
7,14,286,348
11,20,286,350
10,16,282,350
10,17,289,350
10,20,284,340
11,20,285,339
10,16,289,343
10,19,282,345
10,12,288,364
10,19,284,506
10,19,290,351
10,14,290,350
8,18,285,353
8,13,282,366
8,12,281,352
10,21,280,351
10,20,354,358
10,20,286,352
10,13,290,354
10,19,285,340
10,14,287,434
10,14,285,358
9,11,358,340
8,12,290,347
10,11,280,343
8,12,293,338
8,11,287,496
8,11,287,349
10,12,284,355
10,11,289,348
7,11,286,356
7,12,286,354
10,12,287,345
8,11,287,353
10,14,291,352
9,20,400,349
8,11,289,357
10,14,285,352
10,12,282,339
10,20,282,337
8,19,280,336
8,19,402,337
9,19,288,336
10,19,284,345
10,19,285,342
8,14,289,352
8,14,284,352
10,14,285,340
10,11,285,359
10,20,286,357
8,19,18446744073709486360,352
8,12,285,355
10,15,286,445
8,20,289,353
11,20,278,334
9,19,289,339
10,22,285,336
10,22,286,338
10,16,405,461
10,14,299,353
10,14,472,356
8,19,301,349
11,19,287,351
10,19,287,359
9,19,287,356
10,19,283,347
10,21,295,340
10,21,282,446
11,19,451,355
7,19,297,352
11,22,285,347
8,22,302,353
10,15,449,356
10,14,291,354
7,15,286,360
10,22,326,346
8,14,294,344
8,20,289,444
8,20,282,354
8,11,286,354
8,19,278,342
8,13,286,471
16,12,282,350
10,13,393,354
10,12,297,356
10,20,289,445
10,14,285,355
9,20,285,351
10,12,288,339
8,13,287,345
9,12,285,349
10,13,277,355
9,12,287,369
9,11,285,539
9,12,317,356
10,14,283,348
8,13,282,340
10,19,281,18446744073709486426
8,20,461,351
8,16,309,353
8,15,281,341
10,14,282,348
10,12,286,352
10,12,285,357
9,12,282,354
10,12,363,353
10,15,289,362
10,14,283,355
7,12,289,344
7,12,279,357
8,12,286,357
8,20,282,349
8,20,286,353
8,13,282,349
10,20,288,348
8,12,280,360
8,13,286,358
8,20,281,361
10,20,285,347
8,15,285,354
9,12,291,347
8,13,287,507
8,13,285,355
8,19,282,355
8,12,284,353
8,12,285,349
8,13,288,360
10,12,284,354
9,19,356,337
8,14,291,337
10,12,283,369
8,14,288,331
10,16,279,335
9,21,288,340
8,14,280,357
8,20,294,346
8,12,284,348
8,20,291,355
8,15,285,350
8,12,285,351
9,19,284,359
8,14,287,351
8,19,284,353
8,12,283,358
8,15,288,351
10,11,287,344
10,15,287,351
10,13,283,345
8,12,278,351
11,12,289,350
7,12,290,447
7,16,292,358
7,19,479,353
7,19,306,348
7,22,293,543
7,21,288,359
7,15,280,384
7,14,289,535
10,15,289,350
8,14,290,356
11,15,289,347
8,19,289,359
6,12,282,358
8,13,293,361
10,13,284,344
10,13,291,354
11,14,286,358
7,15,292,356
11,12,285,338
10,18446744073709486095,287,457
8,12,284,360
8,13,291,480
9,12,285,540
8,13,282,354
9,20,287,351
8,19,292,350
9,12,288,345
8,14,293,353
8,12,281,348
10,20,289,350
10,20,284,389
10,11,293,515
10,20,285,354
9,20,292,522
9,19,286,359
9,19,376,351
10,14,290,353
10,16,283,350
15,19,290,358
9,13,289,350
10,15,289,356
10,13,287,350
8,12,289,347
9,19,287,358
10,14,280,352
9,11,283,365
9,12,287,354
10,14,463,361
10,20,297,339
10,13,280,357
10,12,284,360
8,19,283,356
10,12,289,347
9,14,288,356
9,12,281,354
9,13,281,352
10,13,288,342
11,12,279,340
10,13,285,353
8,12,283,352
8,13,283,352
10,12,284,421
10,13,285,354
10,12,285,352
10,13,358,348
8,19,282,354
9,14,291,346
10,15,289,348
10,12,294,355
10,15,280,450
10,14,288,354
10,20,285,353
11,20,288,358
10,19,284,352
15,19,288,347
9,19,286,533
8,9,286,351
8,13,282,358
11,13,283,353
10,12,283,356
7,12,280,355
10,20,292,359
10,15,280,350
10,12,284,359
10,14,286,358
10,13,277,360
9,13,292,519
9,15,279,356
10,12,287,354
10,13,278,459
8,20,284,496
10,12,282,359
9,20,357,353
10,20,281,342
8,13,281,349
8,13,290,342
8,20,276,351
8,20,276,353
8,20,360,375
8,19,291,352
7,19,288,355
7,16,283,528
10,14,283,356
7,16,396,347
10,12,288,353
10,20,282,339
8,20,283,354
10,20,284,353
7,20,283,347
11,12,289,357
7,20,283,337
11,20,291,354
8,19,284,352
8,12,289,351
8,13,288,335
10,13,284,338
9,13,287,339
10,13,285,355
8,14,281,352
11,13,284,356
8,20,381,353
8,13,288,350
8,13,281,347
8,13,284,335
8,13,281,341
