      start,   overhead,     sycall,   swapgs_k,      cr3_k,  push_regs, func_entry,  func_exit, ret_checks,   pop_regs,      cr3_u,   swapgs_u,     sysret
          0,        220,        509,        743,        981,       1224,       1478,       1789,       2026,       2260,       2497,       2730,       3021
          0,        219,        506,        739,        976,       1220,       1515,       1823,       2060,       2296,       2534,       2766,       3056
          0,        219,        503,        737,        973,       1216,       1512,       1820,       2057,       2293,       2530,       2765,       3055
          0,        218,        507,        742,        980,       1223,       1476,       1787,       2026,       2260,       2497,       2729,       3227
          0,        219,        506,        739,        976,       1219,       1514,       1826,       2063,       2299,       2537,       2769,       3059
          0,        220,        504,        737,        974,       1217,       1512,       1827,       2065,       2302,       2539,       2771,       3061
          0,        218,        503,        736,        971,       1215,       1511,       1819,       2058,       2292,       2530,       2762,       3055
          0,        219,        504,        738,        975,       1217,       1470,       1783,       2020,       2253,       2489,       2721,       3011
          0,        219,        503,        737,        974,       1217,       1471,       1783,       2020,       2256,       2492,       2727,       3017
          0,        219,        504,        738,        975,       1218,       1515,       1828,       2065,       2298,       2534,       2766,       3056
          0,        219,        503,        737,        974,       1217,       1513,       1825,       2062,       2298,       2535,       2768,       3058
          0,        218,        503,        736,        971,       1214,       1467,       1778,       2017,       2251,       2489,       2721,       3222
          0,        219,        506,        739,        976,       1219,       1514,       1822,       2059,       2295,       2533,       2765,       3055
          0,        347,        631,        863,       1100,       1342,       1639,       1948,       2186,       2423,       2660,       2893,       3184
          0,        219,        503,        737,        974,       1219,       1514,       1826,       2062,       2298,       2535,       2767,       3057
          0,        219,        506,        739,        977,       1221,       1475,       1788,       2025,       2261,       2500,       2732,       3022
          0,        219,        504,        738,        975,       1218,       1471,       1783,       2019,       2255,       2492,       2724,       3014
          0,        220,        504,        736,        973,       1216,       1512,       1822,       2060,       2297,       2533,       2766,       3057
          0,        219,        508,        744,        981,       1225,       1478,       1791,       2027,       2263,       2499,       2734,       3024
          0,        221,        506,        739,        974,       1218,       1472,       1784,       2021,       2257,       2494,       2726,       3224
          0,        219,       1038,       1271,       1507,       1751,       2047,       2358,       2595,       2831,       3068,       3303,       3593
          0,        222,        506,        739,        976,       1219,       1515,       1825,       2062,       2296,       2532,       2764,       3054
          0,        219,        506,        739,        977,       1221,       1516,       1825,       2061,       2294,       2532,       2764,       3054
          0,        222,        506,        738,        974,       1216,       1467,       1781,       2018,       2252,       2489,       2722,       3013
          0,        219,        503,        737,        974,       1217,       1471,       1783,       2020,       2256,       2493,       2728,       3018
          0,        220,        504,        737,        974,       1217,       1512,       1822,       2059,       2292,       2528,       2760,       3050
          0,        219,        703,        936,       1172,       1416,       1712,       2024,       2260,       2493,       2730,       2963,       3253
          0,        219,        503,        736,        972,       1216,       1516,       1826,       2063,       2299,       2535,       2768,       3264
          0,        219,        507,        740,        977,       1220,       1516,       1827,       2064,       2300,       2536,       2768,       3064
          0,        860,       1145,       1378,       1616,       1858,       2109,       2421,       2659,       2895,       3133,       3365,       3658
          0,        219,        503,        737,        974,       1218,       1513,       1822,       2059,       2295,       2532,       2767,       3057
          0,        219,        506,        739,        974,       1216,       1515,       1826,       2062,       2295,       2533,       2765,       3055
          0,        219,        550,        784,       1021,       1263,       1517,       1828,       2064,       2300,       2537,       2772,       3067
          0,        219,        503,        736,        972,       1216,       1517,       1826,       2063,       2299,       2535,       2768,       3058
          0,        219,        503,        735,        972,       1215,       1512,       1822,       2059,       2293,       2530,       2763,       3054
          0,        220,        508,        743,        980,       1222,       1473,       1786,       2023,       2256,       2492,       2724,       3221
          0,        222,        506,        739,        976,       1219,       1515,       1824,       2061,       2294,       2531,       2763,       3053
          0,        219,        504,        738,        975,       1218,       1514,       1823,       2059,       2295,       2532,       2764,       3054
          0,        218,        503,        736,        971,       1225,       1519,       1828,       2066,       2300,       2538,       2770,       3063
          0,        219,        503,        737,        974,       1218,       1472,       1784,       2021,       2254,       2491,       2726,       3021
          0,        219,        509,        744,        981,       1223,       1474,       1786,       2023,       2259,       2496,       2728,       3021
          0,        219,        503,        737,        974,       1218,       1514,       1822,       2059,       2295,       2532,       2767,       3057
          0,        219,        503,        737,        974,       1217,       1512,       1819,       2055,       2288,       2525,       2758,       3048
          0,        220,        730,        963,       1200,       1444,       1697,       2008,       2244,       2480,       2717,       2949,       3447
          0,        219,        506,        739,        976,       1220,       1515,       1823,       2060,       2296,       2534,       2766,       3056
          0,        220,        504,        736,        973,       1216,       1513,       1825,       2063,       2298,       2536,       2768,       3061
          0,        219,        506,        739,        975,       1219,       1518,       1828,       2065,       2301,       2539,       2771,       3061
          0,        219,        514,        748,        985,       1228,       1481,       1793,       2029,       2265,       2502,       2734,       3024
          0,        219,        508,        743,        979,       1223,       1477,       1785,       2022,       2258,       2495,       2728,       3018
          0,        219,        504,        738,        975,       1217,       1515,       1826,       2062,       2298,       2535,       2767,       3057
