noop,fork-simple,vfork-simple
21,42856,14905
21,42177,9829
21,46385,9573
21,42165,14079
20,41491,18572
21,41773,9781
21,46873,9975
21,41773,9639
21,41716,15295
21,42869,9836
20,46953,9765
21,42662,9840
21,41998,15126
21,42216,9626
21,48746,9552
20,42205,9952
21,42326,13651
21,42291,9825
21,47571,21629
21,44008,9501
21,41069,15609
21,40937,9936
22,46201,9626
21,41257,9866
21,41605,15939
22,42346,9569
21,46963,9892
21,42053,9911
21,43384,13768
20,41511,9494
20,47541,10104
22,42286,9797
21,41534,17999
21,42432,12939
21,45958,9371
21,45890,9944
21,41657,15450
21,42737,9433
21,44241,10309
21,41637,10382
22,41668,15084
21,42285,9596
21,45092,9576
20,42164,9441
21,41441,12944
21,41751,9761
21,44373,16805
21,41346,9702
22,42074,14001
21,45029,12761
21,41318,9826
21,41622,9578
21,41822,13763
21,44538,9769
21,41125,10604
21,41842,40100
21,45006,13910
21,46040,9922
20,41423,9752
21,42534,9521
21,41609,17159
21,46910,9896
22,41571,9420
21,41457,10476
21,42239,17113
21,45554,10126
21,42263,10180
21,42586,9347
21,41965,13302
21,45880,9696
21,41466,9676
21,41636,10014
20,41814,15829
21,45405,9429
21,42140,19511
21,41632,10175
21,41786,12012
21,48225,9594
21,41786,9821
21,43117,10181
21,42048,21870
21,46026,10553
20,41602,9589
21,40530,9614
21,41355,15321
21,45076,9977
21,41316,9549
21,41426,9995
21,41620,18815
21,45504,9669
22,42246,9891
20,44243,9872
21,42032,15883
21,45825,10045
21,42067,9891
21,42858,13669
21,41614,15881
20,44045,9825
20,45215,9417
21,43851,10216
21,44490,16250
21,41577,9911
21,40674,16797
21,44216,10031
21,45450,15991
21,42147,10727
21,41704,9548
21,43135,9510
21,44785,15337
21,41910,9919
21,41288,13664
21,43822,11933
21,45001,17462
20,41809,11937
21,41181,12006
21,43133,11803
20,44196,18827
21,42165,12110
21,42692,11590
21,46439,12446
21,44850,14922
20,42336,12101
21,41776,11782
21,44127,12159
21,45465,16510
21,41826,14941
21,41688,9637
21,42602,9977
21,44912,15802
22,42237,9907
21,41622,17908
21,41336,9913
21,46181,15915
21,41985,9541
21,41090,9775
21,41064,10142
21,45329,14704
21,42313,10323
21,41759,9914
22,42010,9785
21,47631,12367
21,42401,13495
20,42558,9562
21,41600,10273
21,44804,18952
21,41452,9556
21,40634,9824
21,41033,9873
21,44201,12920
20,41492,10067
21,43910,9702
22,42507,9786
21,44601,13417
20,41817,10226
20,43591,9441
20,46762,10121
21,41932,20773
21,41937,9208
21,43007,20109
21,44973,10068
21,41673,15305
21,45498,9859
21,43133,9368
21,45880,9867
21,40933,14448
20,40993,9891
21,43509,9481
21,45552,9990
21,41625,15551
22,43159,9738
21,43991,9396
21,45353,13161
21,42905,18339
21,42333,9833
21,41632,9752
21,44797,9989
21,40596,14252
21,42612,9688
20,42249,9781
21,45153,9579
21,42244,14873
21,42449,9593
21,44989,9670
21,45457,10395
22,42703,15989
20,42623,9517
21,41698,18890
21,46325,13301
21,41843,14868
22,41081,9734
22,41895,9816
21,45169,10282
21,40974,14161
21,41506,9965
21,41283,9839
21,45941,10298
20,42267,13369
21,41600,9728
21,41764,10074
20,44521,9784
21,41962,15703
21,42085,9602
21,42007,12903
21,46945,9734
22,42136,15902
21,42598,9443
21,46208,9885
21,41156,11685
21,40882,15651
21,41079,9489
21,47011,9589
21,42009,9647
20,41773,16206
21,42480,9543
22,47064,18244
20,41859,9886
21,41241,15789
21,42081,9816
21,46373,12593
21,42179,10552
21,41254,15376
22,42233,10059
21,44692,10155
21,41949,10124
21,44613,14413
21,41778,10241
21,45006,9814
20,42218,10159
21,42078,18584
20,42415,9885
21,45451,9764
21,41448,10331
21,41913,16136
21,41850,13177
21,44909,10273
20,41847,9565
22,41123,14549
21,41143,9962
20,44995,9373
21,41098,10027
21,41388,13634
21,44135,9753
21,45159,17980
22,43095,9788
21,41998,983608
21,43971,12066
21,45644,10331
21,42227,10462
22,41480,10636
21,41640,13528
21,45060,10301
21,42984,9853
21,41792,10327
21,42088,10881
21,45051,10233
21,41948,11043
20,41499,10021
21,42459,10337
20,45025,10244
21,42553,9865
21,42009,11942
22,44443,10102
21,41687,9894
21,42386,10460
21,41440,13986
21,44705,10472
20,44274,10069
20,41850,10420
21,41880,10050
21,44784,10771
21,42434,10658
21,42254,10436
21,42021,10525
21,45687,10182
20,42325,9976
21,41029,10452
21,41678,10185
20,44711,10204
21,41664,10188
21,41193,11131
21,41904,13707
21,45577,10288
21,42132,10505
21,43999,10352
21,41930,10324
21,46849,10296
21,41768,10198
20,46772,10185
21,42037,10422
21,46847,10366
20,41486,10112
21,41677,10515
21,40915,10838
21,47310,9899
21,42034,10095
21,42203,13459
20,41642,10136
21,46457,10374
21,41670,10106
21,41076,10497
20,40983,10549
21,46426,9865
21,40443,10508
20,41916,10615
20,42679,10310
21,48298,10168
21,41372,10240
21,41145,10392
21,43637,9903
21,46529,10162
20,42350,9713
21,42109,13791
21,42043,9975
21,45579,9862
21,41647,10202
21,41777,10096
21,45428,9742
21,41199,9928
21,41327,9793
21,42013,10609
21,44792,10159
21,42333,10172
21,41290,9971
21,41559,9837
21,45220,10965
21,41897,10250
21,42349,10419
21,41748,13430
21,45113,9894
21,44659,10522
21,41350,10658
21,41693,11778
20,44807,11237
21,41860,10671
21,42220,10689
21,41684,11207
21,45092,10432
21,42660,11759
20,42215,10676
20,41792,10497
21,45485,11588
21,41498,12135
21,42250,17913
21,42020,10346
22,45143,9539
21,42705,9480
21,41734,11946
21,43067,9997
21,44987,10177
22,42697,9690
21,45004,12543
21,43646,10055
20,43586,9470
21,42454,9996
20,42148,12167
21,44331,9709
21,45463,10106
21,42205,10109
21,43045,15592
20,42898,10015
21,44894,9547
21,41960,9319
20,41220,12568
21,42060,9940
21,44910,9530
21,41749,9515
20,41270,11967
20,46522,9824
21,41527,9600
21,42051,9653
21,41856,13772
21,47998,9972
21,42434,9821
21,42669,9593
22,41665,15728
21,44678,10234
21,42440,9600
21,42616,9424
20,42255,12529
21,47542,9780
21,41645,9842
21,42152,10143
20,44364,11611
21,45231,10341
22,42752,9771
20,42466,9909
20,44204,12039
21,45388,9988
21,42358,10706
20,42212,12837
22,43774,12378
22,46036,9786
21,43861,9454
21,42115,10251
21,45864,11978
21,44841,9640
21,42000,9853
21,42470,9542
21,43381,13768
22,45394,10205
21,43003,9583
21,43010,9910
21,43095,12940
