CPU,mitigation,kernel,benchmark,adjusted,mean,median,p1,p25,p50,p75,p99,std,iqr,min,max
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fastcall,noop,True,0.1415,0.0,-2.0,-1.0,0.0,1.0,7.0,1.721359273946029,2.0,-3.0,32.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fastcall,fastcall,True,164.57109907741676,164.0,160.0,163.0,164.0,166.0,175.0,3.284274831173215,3.0,159.0,275.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fccmp,noop,False,9.170534106821364,9.0,7.0,8.0,9.0,10.0,16.0,1.6365694628424114,2.0,6,37
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fccmp,vdso,False,15.526005201040208,14.0,11.0,12.0,14.0,19.0,22.0,3.4382609255859915,7.0,6,52
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fccmp,syscall,False,291.3575520048236,285.0,275.0,282.0,285.0,288.0,452.0,27.618010064963606,6.0,271,483
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fccmp,ioctl,False,361.36997588424435,352.0,330.0,348.0,352.0,356.0,530.0,74.84874602711936,8.0,324,6908
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fccmp,noop,True,0.17053410682136427,0.0,-2.0,-1.0,0.0,1.0,7.0,1.6365694628424112,2.0,-3.0,28.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fccmp,vdso,True,6.526005201040208,5.0,2.0,3.0,5.0,10.0,13.0,3.4382609255859915,7.0,-3.0,43.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fccmp,syscall,True,282.3575520048236,276.0,266.0,273.0,276.0,279.0,443.0,27.618010064963606,6.0,262.0,474.0
Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz,nopti%mds=off,fccmp,ioctl,True,352.36997588424435,343.0,321.0,339.0,343.0,347.0,521.0,74.84874602711936,8.0,315.0,6899.0
Neoverse-N1,mitigations=off,fastcall,noop,False,794.1314,788.0,784.0,786.0,788.0,790.0,839.0,113.17088200610614,4.0,782,8283
Neoverse-N1,mitigations=off,fastcall,fastcall,False,898.6001,893.0,886.0,890.0,893.0,895.0,946.0,36.88554703389934,5.0,881,4166
Neoverse-N1,mitigations=off,fastcall,noop,True,6.1314,0.0,-4.0,-2.0,0.0,2.0,51.0,113.17088200610614,4.0,-6.0,7495.0
Neoverse-N1,mitigations=off,fastcall,fastcall,True,110.6001,105.0,98.0,102.0,105.0,107.0,158.0,36.88554703389934,5.0,93.0,3378.0
