noop,vdso,syscall,ioctl
38,41,253,449
37,39,246,450
38,39,247,451
38,39,245,449
38,39,238,458
37,39,247,446
38,38,246,450
38,39,242,449
38,41,244,458
38,38,248,445
38,41,243,447
38,39,245,454
43,39,244,454
38,42,240,452
38,73,244,448
37,45,243,447
38,39,249,437
38,38,246,441
38,39,247,444
42,39,244,447
38,38,240,450
42,39,245,466
42,39,242,453
38,39,245,447
37,44,243,448
37,39,245,459
41,39,248,443
38,39,246,448
43,39,244,445
37,39,247,449
37,39,247,453
42,39,245,447
38,39,240,444
38,39,243,449
38,39,248,456
38,39,245,446
38,39,245,449
37,39,254,449
38,38,246,456
38,39,243,453
38,38,243,452
38,38,245,452
38,39,242,18446744073709486531
38,39,245,444
38,39,244,453
37,39,246,445
37,45,241,455
38,43,245,458
38,40,243,446
38,44,243,447
38,39,246,437
38,39,245,455
38,39,243,453
38,39,246,451
38,39,243,449
41,44,243,446
41,44,243,453
38,39,239,447
38,39,241,447
38,39,245,452
38,39,243,439
38,39,247,442
38,39,247,442
38,39,241,455
37,44,245,452
38,43,244,448
40,39,244,438
38,39,244,451
38,43,246,453
38,39,244,441
37,39,241,446
38,39,246,451
38,44,245,452
38,39,246,458
37,39,245,455
38,39,242,450
38,39,248,454
38,39,244,442
38,39,243,449
41,39,243,444
38,39,243,454
38,39,246,442
38,38,246,451
38,44,244,453
38,41,244,450
38,41,243,457
38,45,246,445
38,39,245,456
38,44,241,454
38,43,246,454
38,38,244,449
38,38,243,447
41,39,246,450
37,45,245,454
38,39,243,443
38,41,242,450
41,39,245,453
38,39,247,452
38,39,244,451
38,39,243,449
38,39,246,451
41,39,245,451
38,39,246,447
38,39,244,447
41,39,244,448
38,40,247,458
38,43,243,450
38,44,242,447
38,39,247,453
38,39,237,457
38,39,246,455
38,44,246,450
38,38,246,445
38,39,238,446
38,39,246,455
38,39,245,445
38,39,245,455
38,39,244,446
38,39,246,455
38,39,250,436
38,44,243,448
40,39,247,449
38,38,245,450
38,43,247,448
38,41,247,453
38,41,245,451
38,39,247,455
38,39,244,452
38,41,246,443
38,40,244,448
38,38,245,456
38,39,249,453
38,41,238,447
37,39,243,448
38,39,244,451
38,39,244,448
38,39,243,440
38,39,242,445
38,39,241,18446744073709486530
38,40,245,450
38,45,241,445
38,39,244,451
38,41,242,458
37,40,246,449
38,39,243,446
38,38,247,440
42,39,242,458
38,41,239,448
37,41,242,447
37,38,248,445
37,43,245,449
38,41,236,453
38,38,243,444
38,39,241,442
37,39,245,445
38,39,244,456
38,38,246,450
38,40,245,447
38,39,248,436
38,44,248,455
38,39,246,445
37,44,242,454
38,39,245,442
38,39,245,449
38,39,246,448
42,39,243,450
37,39,245,449
38,39,244,453
38,41,247,447
38,39,246,450
38,39,241,450
38,39,245,451
38,39,245,437
38,39,242,444
38,39,246,446
38,38,242,451
38,39,244,447
38,39,248,451
40,39,248,446
38,42,245,457
38,38,247,453
38,40,245,448
38,39,246,441
37,38,244,452
38,41,244,449
38,39,239,447
38,38,244,447
38,39,245,452
38,38,241,444
38,39,242,454
38,39,245,444
37,38,245,456
37,41,238,440
38,39,246,450
38,39,245,453
38,39,246,443
38,39,247,446
38,39,247,449
38,39,241,448
38,39,243,451
38,39,246,454
38,38,244,454
38,38,242,450
38,39,245,446
38,38,244,443
38,39,245,459
38,43,243,449
38,39,243,447
41,40,240,449
38,39,246,452
38,38,246,450
37,41,243,449
38,39,246,442
38,44,243,449
38,39,239,449
38,44,248,443
38,39,247,447
38,39,242,453
38,39,246,449
38,38,240,450
37,39,246,445
38,38,238,457
38,41,243,448
38,39,244,451
38,39,249,448
38,39,239,450
43,39,245,444
37,39,244,450
37,40,242,449
37,39,246,448
38,40,245,447
38,41,245,447
38,43,243,457
38,39,243,453
38,39,245,444
38,41,241,455
38,41,245,444
38,38,245,451
38,44,245,451
38,38,244,451
38,38,241,444
38,39,245,447
38,43,247,453
38,39,244,450
37,39,246,450
38,39,244,449
38,39,241,452
38,39,244,445
38,39,242,450
41,39,242,454
38,39,245,452
38,39,242,444
37,39,246,448
38,40,246,446
38,39,244,452
38,38,246,462
38,43,245,452
38,38,243,443
38,39,245,448
38,41,244,448
38,39,240,442
38,43,245,452
38,39,245,447
37,39,246,453
37,39,243,455
38,39,249,446
38,39,247,448
38,39,245,450
38,39,245,438
38,39,245,446
38,43,247,443
40,38,247,454
38,39,241,445
38,39,245,444
38,39,247,450
38,45,248,456
38,41,243,452
38,39,249,452
38,40,244,454
38,38,246,449
38,39,247,447
38,44,241,454
38,39,244,451
38,39,245,448
42,38,243,450
42,39,245,449
38,39,248,446
41,39,242,449
37,39,245,457
38,39,247,452
38,39,244,445
38,39,244,449
38,39,246,449
42,39,245,444
38,39,246,445
38,39,244,448
38,39,245,454
42,43,246,456
38,39,248,453
38,38,241,452
38,44,245,454
38,39,243,456
41,39,241,451
38,39,245,455
38,39,244,448
38,39,243,437
38,39,247,452
38,39,248,447
38,43,245,439
38,38,239,454
38,39,245,460
38,39,244,455
38,39,243,450
41,39,246,448
38,39,243,457
38,39,245,444
38,39,245,454
38,39,246,443
40,39,243,458
38,39,239,444
38,38,241,451
38,39,244,455
38,39,248,448
38,39,244,448
38,39,245,449
37,39,243,449
38,39,244,443
41,43,245,446
38,39,244,449
38,39,245,454
38,44,245,449
38,39,247,446
38,39,243,451
38,39,242,448
38,39,245,450
38,38,242,450
38,41,243,454
38,43,244,449
38,39,245,452
37,39,244,445
38,39,245,447
38,39,237,453
38,39,242,449
38,39,247,446
38,39,239,443
38,40,242,443
38,39,249,452
38,43,245,457
38,39,245,448
38,39,244,448
38,39,245,456
38,39,245,447
38,43,254,448
40,38,240,445
38,39,246,450
40,41,240,454
38,39,243,447
38,39,18446744073709486329,459
38,39,245,446
38,38,239,457
38,38,245,452
38,39,243,453
38,39,244,453
38,39,244,452
38,39,245,445
38,38,247,457
38,38,245,443
38,39,245,453
38,39,244,451
38,39,245,462
38,39,242,443
38,39,245,456
38,38,243,449
37,39,244,454
38,39,244,447
38,43,244,448
37,41,245,448
38,39,247,461
38,39,241,456
38,39,246,445
38,39,237,450
38,39,242,450
38,39,241,448
38,39,246,448
38,39,248,456
38,39,244,451
37,39,241,455
38,41,238,451
38,39,243,453
37,38,239,444
38,38,245,447
38,38,238,442
38,41,244,454
38,39,245,454
38,43,245,444
38,39,18446744073709486324,436
38,38,242,448
38,38,244,454
38,39,243,450
41,39,251,455
38,38,242,456
38,41,244,454
38,39,241,445
38,41,241,448
38,39,241,447
38,39,242,447
37,39,244,444
40,39,245,443
38,39,243,452
38,39,243,450
38,39,247,441
38,39,245,449
38,38,245,456
38,38,242,445
40,39,243,449
38,39,246,447
38,39,247,454
38,39,246,440
38,43,242,450
40,38,241,447
41,38,244,449
38,39,246,446
37,39,246,450
38,39,246,457
38,39,245,446
38,39,246,448
38,39,244,449
38,39,247,452
37,39,243,452
41,38,243,453
38,38,243,448
38,41,242,455
38,41,245,450
37,44,242,453
38,38,244,453
41,38,241,443
38,39,244,458
38,39,245,448
38,42,241,450
38,39,244,455
38,39,251,450
38,39,245,447
37,39,243,447
38,38,246,443
38,38,243,455
38,39,251,441
38,39,244,454
38,39,246,456
38,39,241,450
37,38,241,446
38,38,246,453
38,38,245,453
40,38,245,445
38,38,247,451
38,41,247,455
38,39,245,445
38,39,247,18446744073709486522
38,39,247,455
38,39,244,454
38,39,249,451
38,39,245,450
38,39,244,454
37,39,245,451
38,39,245,454
37,39,244,442
38,43,241,450
41,40,245,450
38,39,246,455
38,39,245,446
38,39,247,446
38,38,244,451
38,39,245,448
38,38,246,455
41,38,247,442
38,38,245,452
41,42,240,445
38,39,243,437
38,39,244,447
38,39,246,447
37,38,244,444
38,38,243,454
38,39,246,453
38,41,246,452
38,41,244,443
38,41,242,456
38,39,245,454
38,39,244,445
38,42,246,447
38,39,243,454
37,42,246,446
40,39,245,452
38,39,240,448
38,39,245,448
38,38,244,460
38,39,238,453
38,39,245,443
38,39,242,452
38,39,245,445
38,39,246,450
38,39,243,451
38,39,244,443
38,39,244,446
38,39,248,453
43,39,243,453
41,39,244,448
37,38,241,447
42,39,243,454
38,41,247,447
38,41,245,450
38,41,245,455
41,46,241,457
38,39,244,456
38,38,245,448
38,43,244,446
38,39,244,453
41,43,247,451
37,38,244,451
38,39,245,449
38,44,243,447
38,44,245,445
38,39,245,443
38,39,243,444
38,39,247,449
38,39,244,443
38,44,245,456
38,39,243,449
38,39,243,452
37,43,245,449
38,39,243,446
38,39,244,454
38,39,244,448
38,39,241,450
38,39,246,445
38,39,245,461
38,39,241,450
38,39,244,451
38,39,237,437
38,39,246,452
38,39,244,447
40,38,243,454
38,39,243,446
38,44,242,451
40,39,245,447
38,39,247,440
38,39,245,448
37,39,244,438
38,39,240,453
41,39,244,455
41,39,245,454
38,39,251,459
42,39,239,455
43,43,244,454
38,39,244,447
41,39,248,446
37,39,242,454
38,39,247,453
38,39,243,451
38,38,241,453
38,39,244,455
38,39,249,449
38,39,244,446
38,39,245,455
38,38,248,452
38,39,238,448
40,39,243,454
37,40,244,452
38,43,246,447
38,39,244,457
38,41,243,448
38,39,243,460
38,39,243,455
